"","sim","fold","alg","r","lhat"
"112","TCGA","4","PCA","26","0.195652173913043"
"113","TCGA","4","PCA","29","0.173913043478261"
"114","TCGA","4","PCA","31","0.173913043478261"
"115","TCGA","4","PCA","34","0.173913043478261"
"116","TCGA","4","PCA","36","0.195652173913043"
"117","TCGA","4","PCA","39","0.217391304347826"
"118","TCGA","4","PCA","43","0.152173913043478"
"119","TCGA","4","PCA","46","0.217391304347826"
"120","TCGA","4","PCA","50","0.217391304347826"
"121","TCGA","5","PCA","1","0.304347826086957"
"122","TCGA","5","PCA","2","0.282608695652174"
"123","TCGA","5","PCA","3","0.239130434782609"
"124","TCGA","5","PCA","4","0.217391304347826"
"125","TCGA","5","PCA","5","0.282608695652174"
"126","TCGA","5","PCA","6","0.239130434782609"
"127","TCGA","5","PCA","7","0.239130434782609"
"128","TCGA","5","PCA","8","0.260869565217391"
"129","TCGA","5","PCA","9","0.260869565217391"
"130","TCGA","5","PCA","10","0.260869565217391"
"131","TCGA","5","PCA","11","0.304347826086957"
"132","TCGA","5","PCA","12","0.304347826086957"
"133","TCGA","5","PCA","13","0.260869565217391"
"134","TCGA","5","PCA","14","0.260869565217391"
"135","TCGA","5","PCA","15","0.239130434782609"
"136","TCGA","5","PCA","16","0.239130434782609"
"137","TCGA","5","PCA","18","0.173913043478261"
"138","TCGA","5","PCA","19","0.239130434782609"
"139","TCGA","5","PCA","21","0.217391304347826"
"140","TCGA","5","PCA","23","0.239130434782609"
"141","TCGA","5","PCA","24","0.239130434782609"
"142","TCGA","5","PCA","26","0.239130434782609"
"143","TCGA","5","PCA","29","0.217391304347826"
"144","TCGA","5","PCA","31","0.260869565217391"
"145","TCGA","5","PCA","34","0.217391304347826"
"146","TCGA","5","PCA","36","0.260869565217391"
"147","TCGA","5","PCA","39","0.217391304347826"
"148","TCGA","5","PCA","43","0.195652173913043"
"149","TCGA","5","PCA","46","0.195652173913043"
"150","TCGA","5","PCA","50","0.195652173913043"
"151","TCGA","6","PCA","1","0.326086956521739"
"152","TCGA","6","PCA","2","0.282608695652174"
"153","TCGA","6","PCA","3","0.282608695652174"
"154","TCGA","6","PCA","4","0.217391304347826"
"155","TCGA","6","PCA","5","0.239130434782609"
"156","TCGA","6","PCA","6","0.173913043478261"
"157","TCGA","6","PCA","7","0.195652173913043"
"158","TCGA","6","PCA","8","0.195652173913043"
"159","TCGA","6","PCA","9","0.152173913043478"
"160","TCGA","6","PCA","10","0.239130434782609"
"161","TCGA","6","PCA","11","0.217391304347826"
"162","TCGA","6","PCA","12","0.217391304347826"
"163","TCGA","6","PCA","13","0.217391304347826"
"164","TCGA","6","PCA","14","0.195652173913043"
"165","TCGA","6","PCA","15","0.195652173913043"
"166","TCGA","6","PCA","16","0.195652173913043"
"167","TCGA","6","PCA","18","0.217391304347826"
"168","TCGA","6","PCA","19","0.217391304347826"
"169","TCGA","6","PCA","21","0.239130434782609"
"170","TCGA","6","PCA","23","0.195652173913043"
"171","TCGA","6","PCA","24","0.195652173913043"
"172","TCGA","6","PCA","26","0.195652173913043"
"173","TCGA","6","PCA","29","0.217391304347826"
"174","TCGA","6","PCA","31","0.195652173913043"
"175","TCGA","6","PCA","34","0.239130434782609"
"176","TCGA","6","PCA","36","0.173913043478261"
"177","TCGA","6","PCA","39","0.239130434782609"
"178","TCGA","6","PCA","43","0.217391304347826"
"179","TCGA","6","PCA","46","0.173913043478261"
"180","TCGA","6","PCA","50","0.239130434782609"
"181","TCGA","7","PCA","1","0.173913043478261"
"182","TCGA","7","PCA","2","0.260869565217391"
"183","TCGA","7","PCA","3","0.260869565217391"
"184","TCGA","7","PCA","4","0.260869565217391"
"185","TCGA","7","PCA","5","0.260869565217391"
"186","TCGA","7","PCA","6","0.239130434782609"
"187","TCGA","7","PCA","7","0.217391304347826"
"188","TCGA","7","PCA","8","0.173913043478261"
"189","TCGA","7","PCA","9","0.173913043478261"
"190","TCGA","7","PCA","10","0.217391304347826"
"191","TCGA","7","PCA","11","0.152173913043478"
"192","TCGA","7","PCA","12","0.195652173913043"
